banker_id,first_name,last_name,gender,phone,dob,date_joined
10-7988777,Meghann,Randalston,Female,730-112-2493,1974-03-12,2013-09-07
59-0965845,Brana,Donnersberg,Female,173-848-1619,1983-09-12,2013-01-01
03-5801967,Tobit,Foord,Male,468-490-0832,1993-08-17,2016-10-25
42-7286348,Phil,Tavener,Female,722-464-5064,1984-04-17,2017-01-15
23-2470101,Benedikta,Glossup,Female,256-600-9552,1977-01-27,2019-04-14
68-9247614,Fabe,Simco,Male,246-330-2533,1979-05-16,2015-06-29
01-3699155,Sindee,O'Scollee,Female,475-981-1058,1985-11-13,2013-05-06
78-4021598,Catlee,Kennifeck,Female,870-183-4625,1982-07-28,2016-07-15
23-5634583,Charin,Vail,Female,711-476-2675,1988-05-22,2019-08-21
71-7187040,Ursa,Livingstone,Female,611-664-9699,1970-09-05,2017-04-12
56-0202232,Randee,Burdess,Female,677-810-7847,1981-12-22,2012-03-29
90-6830986,Etta,Mulderrig,Female,561-388-8566,1986-10-08,2016-02-04
11-9295346,Kennan,Lamberti,Male,422-476-5380,1986-04-18,2016-02-07
60-8811537,Letty,Philot,Female,376-426-3283,1989-08-03,2012-08-20
82-5305051,Barthel,Manssuer,Male,787-942-0083,1976-05-24,2014-09-01
88-1843659,Derril,Kindleysides,Male,200-816-8417,1974-10-14,2017-02-11
29-5277223,Wendy,Loren,Female,997-565-3464,1976-05-15,2016-01-17
76-5546372,Naoma,Dellar,Female,467-752-0016,1976-01-09,2011-01-30
21-6557645,Rolland,Karpeev,Male,253-907-4862,1981-03-18,2014-12-10
08-6433961,Hanson,Slorance,Male,927-892-5614,1983-03-26,2021-04-30
73-2654558,Cathe,Foley,Female,242-886-0260,1981-11-19,2016-12-16
29-9068665,Teirtza,Stirman,Female,646-141-5243,1989-12-13,2016-07-29
91-8454719,Efrem,Minchin,Male,218-364-5586,1987-03-17,2011-09-01
70-6336105,Rayna,Alvaro,Female,508-328-7271,1982-10-25,2019-12-10
34-3158464,Grady,Chaunce,Male,952-357-0576,1991-03-17,2014-10-27
64-5762691,Grant,Pavlovsky,Male,110-259-6605,1975-10-31,2011-07-02
03-5081613,Winnah,Graal,Female,983-733-4494,1988-04-01,2010-03-06
02-6098382,Matthiew,Pregel,Male,499-545-1090,1971-10-09,2016-07-08
43-5135560,Elroy,Trapp,Male,143-226-0434,1991-04-29,2015-04-02
12-5402940,Noemi,Sollner,Female,605-798-8703,1980-08-10,2010-09-13
33-2283829,Lorianna,Pitherick,Female,689-146-1777,1978-10-11,2016-09-08
97-1039271,Allan,Wellbeloved,Male,688-882-1895,1986-07-23,2014-05-22
04-3201771,Lydon,Cowlard,Male,431-290-9009,1983-08-30,2013-07-18
03-4841081,Stearn,Chene,Male,549-280-7812,1984-12-12,2020-03-27
56-7724868,Jamil,Klassmann,Male,979-475-2277,1993-02-17,2015-12-24
39-1862734,Kessiah,Aery,Female,149-458-2734,1980-11-10,2013-05-23
98-2590988,Dud,Taunton.,Male,831-532-9441,1987-06-13,2019-03-13
46-8326323,Christian,Meynell,Male,286-109-6234,1970-11-16,2014-01-25
98-2464295,Engracia,Melato,Female,981-188-6750,1992-11-23,2021-03-29
57-9174880,Lancelot,Tilston,Male,153-502-7688,1971-10-25,2019-09-18
86-6798797,Kerwin,Ribou,Male,300-469-9672,1975-07-24,2017-02-04
03-0153800,Prince,Challenor,Male,510-590-3004,1976-05-22,2019-11-06
32-6901998,L;urette,Benallack,Female,615-385-7368,1970-09-01,2014-04-16
86-9370716,Carley,Boseley,Female,364-165-0754,1984-08-31,2020-02-27
82-6308176,Philomena,Benedito,Female,227-955-3164,1976-05-06,2018-12-26
50-7264215,Jasen,Gotling,Male,603-308-6298,1973-09-25,2020-11-30
35-4164936,Legra,Garlee,Female,877-273-1115,1976-11-10,2019-07-08
03-2641281,Leontyne,Andrichuk,Female,294-195-8559,1975-08-19,2021-04-16
41-2069333,Audra,Linebarger,Female,237-470-6944,1972-01-17,2016-08-24
26-7892906,Wakefield,Cropper,Male,560-387-7746,1983-12-26,2010-09-07
37-6739425,Colly,MacDowal,Female,178-609-6960,1973-10-26,2010-12-07
08-0694003,Karalynn,Hume,Female,107-449-4731,1986-12-14,2017-05-14
86-5248690,Garald,Bellfield,Male,800-605-2780,1980-08-07,2011-05-14
28-6107702,Nicholas,McAw,Male,319-827-7862,1975-12-18,2014-10-12
51-4875583,Amye,Feld,Female,318-409-4347,1971-11-08,2018-01-18
41-6180351,Davon,Shower,Male,578-187-2123,1970-08-12,2011-11-21
96-4949608,Floyd,Quickenden,Male,172-142-7111,1978-05-19,2016-07-30
91-6838638,Lyn,Spratt,Female,692-943-5601,1980-07-11,2020-06-09
04-0288086,Chic,Sailer,Male,969-601-1551,1971-08-15,2017-08-19
42-8495764,Alden,Petkens,Male,460-179-6930,1987-04-26,2014-05-29
82-9295259,Tobie,Noton,Male,349-110-1031,1981-01-29,2010-10-21
57-4015376,Jeniffer,Heephy,Female,482-505-8564,1972-07-21,2018-12-01
94-4238145,Sadella,Giacopini,Female,844-908-6208,1986-05-27,2018-01-15
44-0876203,Enrique,Gimber,Male,195-922-4614,1979-04-19,2016-06-16
76-9414112,Ayn,Bertolin,Female,103-414-3375,1982-02-01,2011-02-16
44-8539248,Case,Baldry,Male,287-672-4723,1987-02-01,2017-10-29
03-9598462,Constancy,Croutear,Female,910-319-4254,1973-11-17,2013-05-22
19-0370733,Renault,Monkley,Male,307-952-8623,1992-02-27,2011-11-23
69-3766552,Falito,Bootman,Male,949-538-1951,1981-02-24,2010-10-08
58-8806519,Gabby,Siveyer,Male,393-163-0237,1985-09-25,2010-09-25
84-8783169,Chaim,Jeavon,Male,916-983-4791,1975-05-25,2021-03-30
32-6476646,Fabian,Callis,Male,778-258-2489,1971-06-20,2012-02-27
25-5268119,Heath,Buick,Female,320-888-6039,1984-09-17,2017-03-07
15-2887598,Laurens,Hyland,Male,841-986-5119,1989-08-10,2014-04-27
79-0918535,Griffith,Orford,Male,543-828-7373,1979-05-29,2014-01-18
83-1977189,Margaux,Chesswas,Female,802-780-0148,1981-06-29,2020-12-09
42-3488693,Jethro,Antczak,Male,723-713-2351,1972-03-19,2020-04-07
15-3605472,Durante,Tydeman,Male,150-390-9784,1973-05-27,2010-05-16
57-9271668,Archambault,Yearnes,Male,434-512-4294,1977-02-10,2015-12-20
56-3253104,Thornton,Rossetti,Male,784-463-7798,1972-03-03,2019-12-25
